file_name,file_id,mime_type,modified_ts,size_bytes,drive_url,invoice_number_guess,supplier_guess,paid_date_note
28 Feb 2026 Statement PAID .pdf,1hjQwOnDDJfw0XaMIcaP-bPey6OhNc8Cb,application/pdf,1772423257082,142833,https://drive.google.com/file/d/1hjQwOnDDJfw0XaMIcaP-bPey6OhNc8Cb/view?usp=drivesdk,PAID,28 Feb 2026,
1300TempFenceInvoice - D5063700002.pdf,1H-SoHeDEClPDSAxOzRdtO0yWFeKD19ow,application/pdf,1770615151404,167077,https://drive.google.com/file/d/1H-SoHeDEClPDSAxOzRdtO0yWFeKD19ow/view?usp=drivesdk,D5063700002,1300TempFence,
206477 paid via DD_TR Group.pdf,1B204DwGw6eJu_wuQ1kITECKd3tw0U4NS,application/pdf,1770601554624,264475,https://drive.google.com/file/d/1B204DwGw6eJu_wuQ1kITECKd3tw0U4NS/view?usp=drivesdk,,206477 paid via DD_TR Group.pdf,
Adam_Invoice-IV00001280_Urban Portsea.pdf,1W9qoYkylGd93X16k7xzNrYiIcG7KaZSw,application/pdf,1775694023313,144333,https://drive.google.com/file/d/1W9qoYkylGd93X16k7xzNrYiIcG7KaZSw/view?usp=drivesdk,IV00001280,Adam,
AGPortsea Polo 2026 Deposit Invoice.pdf,1Kugmw18adgJuKZaGUtEX_EGVUvJRby56,application/pdf,1770257636277,445389,https://drive.google.com/file/d/1Kugmw18adgJuKZaGUtEX_EGVUvJRby56/view?usp=drivesdk,oice,AGPortsea Polo 2026,
Alliance Security updated_Invoice 3237.pdf,1NuzkdZl8sOI0x6GHjalf-f5hiM1ze28o,application/pdf,1774397455816,73360,https://drive.google.com/file/d/1NuzkdZl8sOI0x6GHjalf-f5hiM1ze28o/view?usp=drivesdk,3237,Alliance Security updated,
Deposit Invoice IN15865 Traffic Management.pdf,1AKFpSZEGj19hsKgb5OLN0s0IWBLCOWoS,application/pdf,1770839371230,218244,https://drive.google.com/file/d/1AKFpSZEGj19hsKgb5OLN0s0IWBLCOWoS/view?usp=drivesdk,IN15865,,
Deposit Invoice IN15866 Waste Management.pdf,1Gb_bjI9GhI4tqmvOFH136EG9qnRWeIqd,application/pdf,1770839902493,204351,https://drive.google.com/file/d/1Gb_bjI9GhI4tqmvOFH136EG9qnRWeIqd/view?usp=drivesdk,IN15866,,
DJ The STEPHS Invoice INV-0432.pdf,13u2C9UaoCk5oPupIGYUVRcmqHdB7jvLt,application/pdf,1774395517182,61047,https://drive.google.com/file/d/13u2C9UaoCk5oPupIGYUVRcmqHdB7jvLt/view?usp=drivesdk,INV-0432,DJ The STEPHS,
GE_TAX INVOICE_G340976_Geen event plants copy.pdf,1WFdKi4i0cqNppeg2ip7ZVdupIPvyFWsb,application/pdf,1772609862004,322011,https://drive.google.com/file/d/1WFdKi4i0cqNppeg2ip7ZVdupIPvyFWsb/view?usp=drivesdk,G340976,GE,
GE_TAX INVOICE_G340976_Geen event plants.pdf,1JXUOmx2csoor5tcYWz1G7283lmQddL2L,application/pdf,1773796093045,323226,https://drive.google.com/file/d/1JXUOmx2csoor5tcYWz1G7283lmQddL2L/view?usp=drivesdk,G340976,GE,
hireinvoice_splashdown_updated.pdf,1z8qKiwaCVSjcdIrvKFO5ToyPjoeVat1e,application/pdf,1772085926833,69781,https://drive.google.com/file/d/1z8qKiwaCVSjcdIrvKFO5ToyPjoeVat1e/view?usp=drivesdk,splashdown,hire,
